carat,depth,table,x,y,z,symmetry_val,Good,Ideal,Premium,Very Good,E,F,G,H,I,J,IF,SI1,SI2,VS1,VS2,VVS1,VVS2
0.41,60.8,61.0,4.72,4.79,2.89,0.9853862212943632,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1.05,59.3,58.0,6.65,6.61,3.93,1.0060514372163392,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.04,62.9,54.0,6.42,6.49,4.06,0.9892141756548536,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0.42,61.7,53.0,4.85,4.87,3.0,0.9958932238193018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.43,62.3,60.0,4.78,4.85,3.0,0.9855670103092784,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.24,60.2,60.0,6.91,6.94,4.17,0.9956772334293948,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.32,62.0,57.0,4.37,4.4,2.72,0.9931818181818182,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.04,62.6,59.0,6.43,6.47,4.04,0.9938176197836168,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.51,62.4,54.0,5.12,5.17,3.21,0.9903288201160542,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.36,62.4,55.0,4.52,4.55,2.83,0.9934065934065932,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0.76,62.4,54.0,5.84,5.86,3.65,0.9965870307167236,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.8,62.2,57.0,7.81,7.89,4.88,0.9898605830164764,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0.62,60.5,58.0,5.48,5.52,3.33,0.9927536231884059,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.9,61.8,59.0,6.13,6.16,3.8,0.99512987012987,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.51,61.0,59.0,5.13,5.17,3.14,0.9922630560928432,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2.0,58.1,60.0,8.25,8.32,4.81,0.9915865384615384,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
0.3,62.0,59.0,4.27,4.22,2.63,1.0118483412322274,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.21,62.3,58.0,6.76,6.85,4.24,0.9868613138686132,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0.91,62.7,59.0,6.16,6.13,3.85,1.0048939641109298,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.07,62.2,57.0,6.53,6.55,4.07,0.9969465648854964,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.33,63.6,56.0,4.38,4.42,2.8,0.990950226244344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.33,60.8,58.0,4.47,4.48,2.72,0.997767857142857,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,62.2,61.0,6.38,6.41,3.98,0.9953198127925116,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1.22,61.8,57.0,6.83,6.85,4.23,0.997080291970803,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.59,61.8,56.0,5.39,5.43,3.35,0.992633517495396,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.5,66.2,53.0,7.12,7.08,4.7,1.0056497175141244,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.3,60.7,57.0,4.34,4.39,2.65,0.9886104783599088,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.33,61.1,56.0,4.45,4.49,2.73,0.9910913140311804,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.79,61.3,54.0,6.01,5.96,3.67,1.0083892617449663,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.52,62.9,59.0,5.12,5.15,3.23,0.9941747572815534,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0.55,62.1,55.4,5.25,5.27,3.26,0.996204933586338,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1.55,62.1,54.0,7.42,7.45,4.61,0.995973154362416,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.7,60.0,59.0,5.79,5.75,3.46,1.0069565217391303,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.23,59.3,59.0,7.13,6.97,4.18,1.0229555236728838,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1.12,61.6,56.0,6.64,6.68,4.11,0.994011976047904,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.01,63.9,57.0,6.29,6.36,4.04,0.9889937106918238,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.36,62.0,54.0,4.59,4.61,2.85,0.9956616052060736,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.5,64.2,59.0,5.03,4.97,3.21,1.012072434607646,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.26,63.2,57.3,6.81,6.86,4.32,0.9927113702623904,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.56,61.6,56.0,5.29,5.33,3.27,0.9924953095684804,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.3,62.7,55.0,4.3,4.25,2.68,1.0117647058823531,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.83,63.1,60.0,5.91,5.98,3.75,0.9882943143812708,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0.41,61.8,56.0,4.78,4.73,2.94,1.0105708245243128,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.91,64.2,60.0,6.01,5.95,3.84,1.0100840336134451,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.56,62.6,56.0,5.28,5.3,3.31,0.9962264150943396,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2.06,62.7,57.0,8.19,8.09,5.1,1.0123609394313968,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.0,61.9,61.0,6.36,6.31,3.92,1.0079239302694138,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.32,61.3,56.0,4.42,4.45,2.72,0.993258426966292,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.43,62.2,59.0,4.84,4.81,3.0,1.0062370062370063,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.36,61.3,58.0,4.56,4.58,2.8,0.9956331877729256,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.65,61.6,58.0,7.59,7.55,4.66,1.005298013245033,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.52,60.2,58.0,7.44,7.37,4.46,1.0094979647218454,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.42,62.4,57.0,4.79,4.76,2.98,1.0063025210084031,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.01,61.8,58.0,6.33,6.38,3.93,0.9921630094043888,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.92,66.0,57.0,6.04,5.99,3.97,1.008347245409015,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.41,60.5,57.0,4.83,4.86,2.93,0.9938271604938272,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.53,62.6,58.0,5.14,5.18,3.23,0.9922779922779924,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.33,61.6,57.0,7.06,7.1,4.36,0.9943661971830986,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.5,61.6,57.0,7.26,7.35,4.5,0.9877551020408164,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0.59,59.1,58.0,5.46,5.5,3.24,0.9927272727272728,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.08,63.8,59.0,6.47,6.39,4.1,1.0125195618153364,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.32,62.2,55.0,4.37,4.35,2.71,1.0045977011494254,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.72,61.9,55.0,5.74,5.77,3.56,0.9948006932409014,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.41,63.5,57.0,4.72,4.76,3.01,0.9915966386554622,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.75,61.5,55.0,7.78,7.75,4.78,1.0038709677419355,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.41,62.0,58.0,7.19,7.12,4.44,1.0098314606741574,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.03,62.4,56.0,6.48,6.43,4.03,1.0077760497667183,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.41,61.1,55.0,4.8,4.83,2.94,0.9937888198757764,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.7,61.8,53.0,5.73,5.69,3.53,1.0070298769771528,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.41,61.1,56.0,4.8,4.83,2.94,0.9937888198757764,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2.01,64.1,62.0,7.85,7.94,5.06,0.9886649874055414,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.07,60.5,62.0,6.6,6.69,4.02,0.9865470852017936,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1.27,59.5,61.0,7.08,7.04,4.2,1.005681818181818,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.9,63.2,57.0,6.15,6.12,3.88,1.0049019607843137,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0.42,60.7,55.0,4.89,4.86,2.96,1.0061728395061726,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.41,62.2,54.0,4.75,4.8,2.97,0.9895833333333334,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.32,62.1,56.0,4.4,4.43,2.74,0.9932279909706548,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.41,61.4,59.0,7.17,7.2,4.41,0.9958333333333332,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1.22,61.7,56.0,6.87,6.91,4.25,0.9942112879884226,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1.01,61.5,55.0,6.44,6.51,3.98,0.9892473118279572,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.01,60.9,54.0,6.5,6.53,3.97,0.9954058192955588,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.34,63.4,55.0,4.44,4.46,2.82,0.9955156950672648,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.32,62.4,58.0,4.35,4.4,2.73,0.9886363636363634,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.0,59.9,59.0,6.45,6.38,3.84,1.010971786833856,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.38,63.2,57.0,4.59,4.62,2.91,0.9935064935064934,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.53,62.5,65.0,5.11,5.17,3.21,0.9883945841392652,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.04,61.1,56.0,6.6,6.66,4.05,0.9909909909909907,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.13,62.2,55.0,6.69,6.66,4.15,1.0045045045045045,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.76,60.5,56.0,5.98,5.95,3.61,1.005042016806723,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.58,60.9,59.0,7.48,7.55,4.58,0.990728476821192,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.5,62.9,58.0,7.25,7.31,4.58,0.9917920656634748,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0.88,63.3,55.0,6.11,6.06,3.85,1.0082508250825084,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0.52,60.7,56.0,5.17,5.21,3.15,0.9923224568138196,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
0.3,63.8,55.0,4.25,4.28,2.72,0.9929906542056074,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.61,60.4,58.0,7.59,7.64,4.6,0.9934554973821992,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
1.54,61.9,61.0,7.41,7.33,4.56,1.0109140518417463,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.04,61.4,57.0,6.52,6.47,3.99,1.007727975270479,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.72,61.2,58.0,5.75,5.79,3.53,0.993091537132988,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
0.4,61.8,56.0,4.76,4.79,2.95,0.9937369519832984,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.78,60.9,55.0,6.0,5.93,3.63,1.011804384485666,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.31,57.7,55.0,4.51,4.6,2.63,0.9804347826086957,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.34,61.8,54.0,4.49,4.47,2.77,1.0044742729306488,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.61,62.0,54.4,5.44,5.47,3.38,0.9945155393053018,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.52,61.1,57.0,5.2,5.17,3.16,1.0058027079303675,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.56,61.0,58.0,5.36,5.33,3.26,1.0056285178236395,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.5,61.1,63.0,7.27,7.34,4.46,0.9904632152588556,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.61,61.6,58.0,5.37,5.34,3.3,1.00561797752809,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.39,63.3,57.0,4.65,4.61,2.93,1.0086767895878526,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
0.34,61.7,55.0,4.5,4.48,2.77,1.0044642857142856,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1.32,61.2,58.0,7.12,7.06,4.34,1.0084985835694051,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0.42,62.0,58.0,4.79,4.82,2.98,0.9937759336099584,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.26,62.1,55.0,4.08,4.1,2.54,0.9951219512195124,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.54,62.3,55.0,5.24,5.2,3.25,1.0076923076923077,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.01,60.8,56.0,6.48,6.51,3.95,0.9953917050691246,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.4,62.2,55.0,4.72,4.76,2.95,0.9915966386554622,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.21,62.1,57.0,6.81,6.82,4.23,0.9985337243401758,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.39,61.8,54.4,4.69,4.73,2.92,0.9915433403805496,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.51,62.1,55.0,5.17,5.14,3.2,1.0058365758754864,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.21,58.9,61.0,6.98,6.91,4.09,1.0101302460202606,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.51,59.4,57.0,7.48,7.57,4.47,0.9881109643328929,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0.57,58.6,57.0,5.37,5.59,3.21,0.9606440071556352,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0.43,62.3,59.0,4.81,4.79,2.99,1.0041753653444676,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.23,61.4,54.0,6.95,6.94,4.26,1.0014409221902016,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.26,61.6,57.0,4.1,4.08,2.52,1.0049019607843137,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,63.6,55.0,4.27,4.31,2.73,0.9907192575406032,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.11,61.8,59.0,6.65,6.58,4.09,1.0106382978723405,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.9,63.3,55.0,6.18,6.12,3.89,1.0098039215686274,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1.52,62.6,59.0,7.27,7.36,4.58,0.9877717391304348,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.31,63.2,57.0,4.3,4.27,2.71,1.0070257611241218,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0.81,60.1,57.0,6.07,6.1,3.66,0.9950819672131148,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.7,61.4,64.0,5.73,5.61,3.48,1.0213903743315509,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.3,59.4,60.0,4.39,4.47,2.63,0.9821029082774048,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,63.3,57.0,5.03,4.99,3.17,1.0080160320641285,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1.4,62.0,56.0,7.18,7.13,4.44,1.0070126227208975,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.79,62.5,57.0,5.88,5.92,3.69,0.9932432432432432,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.4,62.0,54.0,4.72,4.75,2.94,0.9936842105263156,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.13,60.6,60.0,6.76,6.67,4.07,1.0134932533733134,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.1,62.5,58.0,6.59,6.54,4.1,1.0076452599388381,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.4,62.2,56.0,4.7,4.75,2.94,0.9894736842105264,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1.06,61.1,58.0,6.53,6.57,4.0,0.9939117199391172,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.2,62.5,57.0,6.8,6.74,4.23,1.0089020771513353,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.96,57.6,59.0,6.53,6.56,3.77,0.9954268292682928,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.51,61.4,55.0,5.13,5.16,3.16,0.994186046511628,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.3,62.0,60.0,4.28,4.23,2.64,1.011820330969267,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.81,61.0,61.0,5.94,5.99,3.64,0.991652754590985,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.86,62.8,55.0,6.07,6.13,3.83,0.9902120717781404,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.42,62.3,58.0,4.76,4.81,2.98,0.9896049896049895,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0.9,62.7,62.0,6.22,6.1,3.85,1.019672131147541,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.82,61.8,55.0,6.02,6.05,3.73,0.9950413223140496,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.7,59.2,61.0,5.79,5.84,3.44,0.9914383561643836,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0.95,62.3,60.0,6.3,6.26,3.91,1.0063897763578276,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.51,62.2,55.0,5.09,5.11,3.17,0.9960861056751468,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
1.11,60.7,59.0,6.6,6.65,4.02,0.9924812030075189,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0.31,62.2,59.0,4.32,4.36,2.7,0.9908256880733944,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.2,62.8,59.0,6.75,6.7,4.22,1.007462686567164,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.33,61.9,56.0,4.42,4.44,2.74,0.9954954954954954,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.71,64.3,63.0,5.63,5.56,3.6,1.012589928057554,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.33,63.0,58.0,4.42,4.4,2.78,1.0045454545454544,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.53,60.9,57.0,5.21,5.24,3.18,0.9942748091603052,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.05,61.3,59.0,6.56,6.48,4.0,1.0123456790123455,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.34,60.6,58.0,4.55,4.57,2.76,0.9956236323851202,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
0.3,61.7,58.0,4.3,4.32,2.66,0.9953703703703702,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.77,61.9,54.0,5.91,5.94,3.66,0.9949494949494948,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.77,58.6,64.0,6.01,5.93,3.5,1.0134907251264755,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.09,58.5,59.0,6.75,6.8,3.96,0.9926470588235294,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1.01,61.7,62.0,6.3,6.34,3.9,0.9936908517350158,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.18,59.7,58.0,6.9,6.94,4.13,0.9942363112391932,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.53,61.9,55.0,5.2,5.24,3.23,0.9923664122137404,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.72,61.0,59.0,5.74,5.77,3.51,0.9948006932409014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.79,58.8,62.0,6.01,6.03,3.54,0.9966832504145936,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.31,61.4,55.0,4.32,4.34,2.66,0.9953917050691246,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
